frame,X,Y,source,inliers
1,0.2695225672544826,0.2808239742495561,fused,75
2,0.26059532267054925,0.27789729339843494,fused,74
3,0.266743498593961,0.2806313398865957,fused,79
4,0.37213150120697236,0.29019508148059225,fused,83
5,0.43807980353079545,0.2940252152037228,fused,75
6,0.37715890802090063,0.28441962268385623,fused,76
7,0.2737948816925359,0.24389880568795583,fused,144
8,0.3398858581347059,0.275691017364452,fused,67
9,0.2594887132679509,0.23362870214534392,fused,158
10,0.23566861421669785,0.2093953835719645,fused,160
11,0.24131978398197254,0.20743235473467123,fused,125
12,0.30474471161648636,0.26683868284635653,fused,69
13,0.28260266927119887,0.25112886948278573,fused,76
14,0.26831535375959475,0.25227228926074324,fused,66
15,0.2798266845644459,0.27016121512563496,fused,68
16,0.24965601349623864,0.2427592991821071,fused,105
17,0.2049291901449655,0.19773804921649002,fused,229
18,0.2700851244811842,0.266915670454835,fused,76
19,0.2236370206358916,0.22157777960675124,fused,133
20,0.22713328280453934,0.22057560658176498,fused,127
21,0.21630361360478623,0.20631117533679408,fused,141
22,0.25720440447651344,0.2601892512831982,fused,79
23,0.2568436944446311,0.2685422372859056,fused,81
24,0.23465088485687197,0.24331746486113495,fused,109
25,0.26242917823439493,0.27711676626875936,fused,75
26,0.2717110959755179,0.2916696322197305,fused,72
27,0.2664283468799045,0.2929456583696601,fused,81
28,0.26533489019781686,0.2967152306268119,fused,78
29,0.19887265745478455,0.2401837330151417,fused,464
30,0.24250335630592207,0.28206888338624014,fused,128
31,0.27623050015825684,0.3071606648874267,fused,76
32,0.22242833349532132,0.283742024245233,fused,222
33,0.25770408867399136,0.3084335782623053,fused,113
34,0.25038556481098434,0.31256884868757334,fused,164
35,0.257757642605838,0.3215909310594366,fused,147
36,0.2844494623556121,0.3296247099375837,fused,72
37,0.3233380870550507,0.32819480222754793,fused,116
38,0.2494832565073353,0.33052144865969624,fused,558
39,0.29488918497529043,0.33827100255202924,fused,133
40,0.23410949669980347,0.3031442653510335,fused,550
41,0.3157059013264746,0.32935212031504285,fused,84
42,0.2360472121343854,0.28749787652332914,fused,225
43,0.21389787502050867,0.2606262872319507,fused,380
44,0.20585183331860002,0.24360986716352545,fused,543
45,0.42357925797051627,0.3247634435180026,fused,131
46,0.3598312962285069,0.3170666460086184,fused,76
47,0.22839605353671164,0.25903537678032823,fused,251
48,0.31719511847055815,0.3139326977329134,fused,81
49,0.30589043908695734,0.31963856815161995,fused,88
50,0.21428795087522773,0.2618690073207587,fused,341
51,0.29173374913366945,0.31867372637942826,fused,79
52,0.29997419229729716,0.33145964864028565,fused,84
53,0.2943681195326395,0.3349516454889292,fused,84
54,0.2943853665264787,0.34010705433987803,fused,83
55,0.29641914346172205,0.34034993876960357,fused,82
56,0.27786877894283135,0.33830974215564075,fused,103
57,0.24179165605289474,0.3043516066928223,fused,172
58,0.38673118283132607,0.33709174911489626,fused,98
59,0.5582187934482531,0.34906833547929356,fused,357
60,0.2489411209992722,0.2876881848888605,fused,305
61,0.2598869761807779,0.3027129149270512,fused,198
62,0.34547138838653507,0.3397775029026029,fused,80
63,0.34249225774462216,0.3504287544119637,fused,80
64,0.3167659921321607,0.35204117303869925,fused,83
65,0.3085852447855763,0.3578502323647149,fused,91
66,0.29704740653264433,0.3613591984218589,fused,77
67,0.29354412818764314,0.3670567367741355,fused,79
68,0.28612085747752286,0.3704229404886524,fused,69
69,0.40812878199264524,0.3705732805122432,fused,112
70,0.2632748100995523,0.3312973576777356,fused,178
71,0.25485236151710194,0.3186332657862739,fused,152
72,0.25962062720238577,0.3586283875491952,fused,316
73,0.4651658934163192,0.3966406061573294,fused,159
74,0.2589605043633019,0.33228041138380376,fused,243
75,0.3510751407673634,0.4128976549362467,fused,74
76,0.4331754447602501,0.5231861710157244,fused,176
77,0.21906993564920962,0.3714031516900911,fused,432
78,0.2209484824117873,0.35168378195856126,fused,348
79,0.28682402265564566,0.35146863165782044,fused,500
80,0.35311522220278657,0.34378956222079965,fused,455
81,0.23841663455030931,0.29833199500901303,fused,265
82,0.4274965969954229,0.40745510187216955,fused,70
83,0.46397789597901307,0.3833733085710433,fused,76
84,0.4386660084198612,0.3997393167638299,fused,74
85,0.26431713290177467,0.32615039783015737,fused,482
86,0.35018018872181883,0.3251393289073494,fused,402
87,0.24044449980766328,0.30176724834893065,fused,376
88,0.3688461801785105,0.37044222568967844,fused,119
89,0.416500307475804,0.40780533891610093,fused,82
90,0.23618863984281752,0.34222819099462193,fused,324
91,0.23244032451827826,0.3633529990052331,fused,421
92,0.3445034160929097,0.43396905922182705,fused,70
93,0.33513884689563406,0.44600245350279066,fused,68
94,0.32751300047255977,0.45677460979686646,fused,71
95,0.21991030363928807,0.38264408645684755,fused,493
96,0.3139474622549122,0.46662308335699265,fused,82
97,0.2613657566593061,0.38639511845476526,fused,540
98,0.39460102474511866,0.45683136869367585,fused,92
99,0.34298078173575347,0.46109483755655173,fused,117
100,0.36962965560690647,0.4883366272255067,fused,92
101,0.34410105199503827,0.49184850103604627,fused,87
102,0.34755983976201643,0.5069009978689504,fused,112
103,0.39479659357905184,0.4574884791627072,fused,321
104,0.5011216794819473,0.44440800572305506,fused,104
105,0.45875283858894905,0.4640992402299091,fused,93
106,0.3424171452819266,0.487199101625382,fused,284
107,0.4063857413509435,0.5352214046165849,fused,92
108,0.3849442204294366,0.5391547436933859,fused,88
109,0.23429248694738408,0.4485196461213621,fused,368
110,0.3011255339390115,0.4453423368518224,fused,397
111,0.2713322699118888,0.44451538575881433,fused,491
112,0.6111076932602082,0.45521541861635434,fused,110
113,0.7020385691671006,0.43703589513528407,fused,158
114,0.5349646949458119,0.46745372246129757,fused,89
115,0.5084936943754977,0.4883164429098551,fused,98
116,0.45630328418371696,0.5054515731381628,fused,99
117,0.29244848618456537,0.5045128201907454,fused,549
118,0.37675914089192436,0.4924862615803448,fused,143
119,0.45218024013086017,0.5129816932837524,fused,88
120,0.3289890443031963,0.5090779572247004,fused,629
121,0.2553272057808988,0.5327578965484346,fused,681
122,0.42304229982442354,0.5292527689839982,fused,75
123,0.4058233016862249,0.541138262072039,fused,86
124,0.27833236621603513,0.5562395467362066,fused,273
125,0.2551881386245961,0.55698244393356,fused,273
126,0.24392076227474754,0.5677761487320289,fused,495
127,0.25283743199016856,0.5777123050073567,fused,407
128,0.3364837555685542,0.5843436192497833,fused,87
129,0.33395431767539696,0.5891809644881995,fused,84
130,0.2443429244122608,0.5890733199972753,fused,661
131,0.2559940677217834,0.5968712961432278,fused,431
132,0.28856828906840865,0.6039748254343132,fused,137
133,0.31617591180311283,0.6218451554109009,fused,249
134,0.2686188694797666,0.6384357308329603,fused,362
135,0.2654526881671376,0.6409440683778684,fused,493
136,0.30224421782926847,0.6447215158811874,fused,78
137,0.25351707634768494,0.6305229831163789,fused,599
138,0.2604806895055221,0.6330062460594813,fused,449
139,0.2822981304392257,0.6493271664942745,fused,150
140,0.2690301804550317,0.6484718868125185,fused,412
141,0.2845261652736701,0.6529075804421353,fused,739
142,0.28472671840367514,0.6477926973833275,fused,198
143,0.27012900009212126,0.6438069223555162,fused,635
144,0.33147764986235523,0.6248165024359972,fused,661
145,0.27616267582096626,0.6060369052730296,fused,369
146,0.33486007495127457,0.5960787096599874,fused,369
147,0.34921054364360915,0.5929322694412277,fused,667
148,0.3578733169353376,0.5885114502406467,fused,333
149,0.3556526223065295,0.5930263150180201,fused,726
150,0.3409414984695694,0.5732638945560193,fused,251
151,0.2938668564508018,0.600300713706412,fused,613
152,0.27965305503508325,0.5815336235625778,fused,384
153,0.2735672244240664,0.5976153974387871,fused,416
154,0.31344085006886246,0.5672729647245305,fused,201
155,0.49576636444022304,0.5283017419583456,fused,192
156,0.46080989067699274,0.5730649263141675,fused,351
157,0.6388115524198724,0.5210360679485647,fused,160
158,0.2836579769484079,0.5836584097782622,fused,363
159,0.4268666644450243,0.5771017735076334,fused,108
160,0.6144008537914237,0.5188788829938924,fused,78
161,0.6585615457089714,0.5546348530145133,fused,236
162,0.5882869218844925,0.614075069625221,fused,184
163,0.47925044482575174,0.6840617246911154,fused,73
164,0.4020204536000331,0.6679554691396316,fused,63
165,0.4771388556292498,0.7196440478786191,fused,63
166,0.3885814657099509,0.6845697751086959,fused,50
167,0.35302000545406126,0.6928661702006753,fused,323
168,0.47042214824781836,0.7744186691738317,fused,163
169,0.43084015494478556,0.7698381441070935,fused,159
170,0.43989218324666685,0.7969899104726028,fused,141
171,0.3313320113601512,0.711464931260922,fused,324
172,0.2703720526052414,0.6525102626434199,fused,312
173,0.31243335660832205,0.7073266378932522,fused,68
174,0.33837439909293343,0.7286251983226862,fused,52
175,0.3211071003825235,0.7148696089053236,fused,56
176,0.43621703191620015,0.6820027239778164,fused,79
177,0.4651606204393508,0.6283195792843815,fused,169
178,0.3590873885389995,0.6063476925935058,fused,302
179,0.4517659723596154,0.6169832793498411,fused,46
180,0.24926680013310887,0.6408396463165258,fused,204
181,0.41174445809203075,0.6544126596338391,fused,40
182,0.27089443709995975,0.6478662419307035,fused,240
183,0.3121667024533896,0.6613663366446556,fused,113
184,0.381794802700451,0.6806358423877925,fused,45
185,0.3859275165534824,0.6930323220969418,fused,44
186,0.374426947558865,0.7022603051272196,fused,49
187,0.44855941855094833,0.7151049130920966,fused,53
188,0.4388139274012877,0.722634287238458,fused,47
189,0.35078283588849335,0.7280710091040632,fused,82
190,0.39107188214967187,0.6937611519735889,fused,276
191,0.2919822378160126,0.7219430257837064,fused,251
192,0.2654382248224822,0.7080308078436457,fused,337
193,0.27467021947896125,0.6987568025131359,fused,234
194,0.26004703200933726,0.6843738536791687,fused,323
195,0.3198396860401374,0.6902780936558933,fused,225
196,0.44035717603282837,0.7259499880839492,fused,46
197,0.4278301345818965,0.7351892348998331,fused,44
198,0.3285401292009676,0.7207243416670752,fused,170
199,0.3835157551354513,0.749306560547496,fused,72
200,0.3973612268625204,0.7576975829489735,fused,48
201,0.33478930161694803,0.7426697254299802,fused,100
202,0.40648321440955215,0.7691443689018551,fused,59
203,0.3793075267944297,0.76537509351193,fused,54
204,0.3964810756349435,0.773416096051804,fused,59
205,0.2992487528064403,0.7525301142589919,fused,297
206,0.3155660527706452,0.7672327040006036,fused,199
207,0.3121071115144749,0.7478325613977641,fused,191
208,0.3049632627135698,0.7418991858856515,fused,177
209,0.3684381412642284,0.7690157700158998,fused,50
210,0.3961853786023699,0.7879306843966254,fused,77
211,0.41877623402745096,0.8079648055063925,fused,97
212,0.38896621116353586,0.7892864500935437,fused,64
213,0.35008519213475847,0.7623584059766016,fused,107
214,0.3542883757015645,0.7600325560881337,fused,103
215,0.34130123676843804,0.7604772417891409,fused,197
216,0.529988040505738,0.8031982495309324,fused,115
217,0.46677480398101395,0.7908308759822029,fused,62
218,0.42062342866771474,0.7486662803281122,fused,200
219,0.46875433752868806,0.7612588412670188,fused,193
220,0.398108348860733,0.7505552231878311,fused,186
221,0.5140623995255275,0.7789157672204362,fused,74
222,0.5171721148153492,0.7938216858986086,fused,83
223,0.512369255054897,0.7995110422840852,fused,63
224,0.3511824943690123,0.7436798953142048,fused,342
225,0.6080604325296408,0.7244303587684382,fused,156
226,0.5631971249955878,0.6906450209835641,fused,70
227,0.6203389793687072,0.7391053414568391,fused,414
228,0.39725312884725356,0.728485685638558,fused,287
229,0.448643578879977,0.7407781556479127,fused,246
230,0.36177861945772927,0.754170569435727,fused,335
231,0.45486481115688987,0.7544884741659077,fused,98
232,0.5373833850656166,0.7032002638641586,fused,595
233,0.5883000835492334,0.7064831437284079,fused,54
234,0.537490658468239,0.731425493688287,fused,51
235,0.499789520703447,0.7558077293943489,fused,55
236,0.5236897029190999,0.7624709459717326,fused,58
237,0.4841746067539763,0.779357677957647,fused,65
238,0.5639068733117532,0.7804568367331495,cam1,43
239,0.46876621717136613,0.7952208103755883,fused,77
240,0.5599087533025454,0.8068204388647862,cam1,62
241,0.5822113502323969,0.7398067034887977,fused,231
242,0.5249597863363683,0.7651884733075364,fused,47
243,0.5219607385212672,0.7471177136948807,fused,78
244,0.694070437202466,0.6388924303430693,fused,242
245,0.7731232069407171,0.6396588548715461,cam1,43
246,0.5731886636293656,0.7384267737337492,fused,44
247,0.7443251019195802,0.6302296295642096,fused,167
248,0.5954501954597351,0.7136645592222373,fused,45
249,0.5062026475670827,0.7424505679930585,fused,189
250,0.7435084549920039,0.6286346183524402,cam1,27
251,0.7042529789952875,0.6673841006470805,cam1,24
252,0.7678787517321726,0.6961180510336407,cam1,48
253,0.818206333745096,0.7192442496309932,cam1,84
254,0.7741824076034698,0.752736153302357,fused,314
255,0.7981845051718122,0.754989712988321,cam1,29
256,0.777555571743429,0.6975681089618742,fused,125
257,0.8790824505995238,0.6069463592140437,cam1,28
258,0.6907047768157599,0.7061145300758813,fused,52
259,0.625327515599745,0.7152996430564108,fused,140
260,0.7969303645955768,0.634647656594962,cam1,30
261,0.6088666358936675,0.7434766223617388,fused,44
262,0.7364056990714485,0.6502610170770617,fused,156
263,0.6555163014985165,0.736340221685458,fused,267
264,0.8438743041510337,0.603383891737407,fused,296
265,0.8980118841705602,0.541118747901181,cam1,71
266,0.9223012014693878,0.5019977187307203,cam1,158
267,0.8648934693026287,0.5216895064841274,fused,155
268,0.7050796592890535,0.6439173033676241,fused,179
269,0.8641390527147654,0.5074247779701768,fused,194
270,0.7113741131002885,0.6189581556708543,fused,113
271,0.9890025924340661,0.3941828444099597,cam1,52
272,0.9521525229324882,0.4732595141703426,cam1,88
273,0.7006598803151521,0.6693684992103724,fused,39
274,0.8206838509230897,0.5988372245810227,cam1,19
275,0.7283312821940215,0.6406460133036957,fused,52
276,0.6639369565505614,0.6833973852283557,fused,37
277,0.6160403397559909,0.7266471683125876,fused,35
278,0.6687757320460783,0.7322216565026789,fused,65
279,0.5669130335978364,0.7844808575806513,fused,36
280,0.703184238803754,0.683777844866712,fused,65
281,0.5858460725174173,0.7598170957077164,fused,33
282,0.8153717807948452,0.5956251145989988,cam1,88
283,0.8278798964552284,0.566599418218549,fused,228
284,0.729498637074671,0.624931142081132,fused,129
285,0.8279057047610203,0.5413064810861613,fused,144
286,0.5774567590670188,0.7257574744899128,fused,71
287,0.8036015076222716,0.5447049401778994,fused,109
288,0.6782635735194256,0.6411010518810306,fused,100
289,0.7612927991959476,0.6276394314464463,fused,67
290,0.58145080309749,0.7387137503467748,fused,117
291,0.5187225610736634,0.7858760285820814,fused,90
292,0.4896040325538575,0.8075663495829728,fused,124
293,0.4943476414308524,0.8073081097424841,fused,100
294,0.6540437135450755,0.7177938508728219,fused,86
295,0.828984300783178,0.5853688769486215,cam1,250
296,0.8663648844598796,0.5391149972885477,cam1,111
297,0.8963059660561408,0.5023222598657097,cam1,86
298,0.9203659790201905,0.4717754892744044,cam1,40
299,0.939519158058687,0.44818488245626603,cam1,52
300,0.9114291013797644,0.4861923237800171,cam1,33
301,0.9322086925638605,0.46044629159678085,cam1,64
302,0.8832030958365236,0.5122160418689743,cam1,27
303,0.8447987851416567,0.5524338124222354,cam1,24
304,0.8151893209786278,0.5830374993246522,cam1,27
305,0.6763617046128639,0.6798779980298916,fused,143
306,0.6427943436521082,0.7785881886573485,fused,112
307,0.626551975359718,0.7759202013853636,fused,115
308,0.8447264243678171,0.5454691119480649,cam1,121
309,0.8784670311706047,0.5081319829241687,cam1,116
310,0.8138737881688602,0.6242457671937558,cam1,39
311,0.7964412897831521,0.6309304123298332,cam1,35
312,0.7830190975566372,0.6353918673813138,cam1,44
313,0.7728635728656483,0.63792145586198,cam1,58
314,0.7612996330709197,0.6359197704870976,fused,61
315,0.7888856603118745,0.6808410185951295,cam1,52
316,0.7782744813832705,0.6731042136142039,cam1,33
317,0.7698425864205621,0.6666978434711603,cam1,37
318,0.7630290393566137,0.6617422561416555,cam1,36
319,0.7575936488449806,0.6576360969963313,cam1,36
320,0.7534084430788041,0.654106135707258,cam1,39
321,0.7498847294550195,0.6447277234006163,fused,119
322,0.7148868576692232,0.6801300508943665,fused,62
323,0.7811981047598445,0.6093991324727389,cam1,36
324,0.7354906357439606,0.7056197186455879,cam1,40
325,0.7479423759368806,0.6720272004772939,cam1,34
326,0.6803089574015925,0.7529373958790672,fused,136
327,0.6750069020854307,0.8253332487250065,cam1,97
328,0.6504710250535904,0.8783791100552999,cam1,116
329,0.7224848691865998,0.7757222931712886,cam1,67
330,0.7280931192230604,0.7386129016345683,cam1,20
331,0.6890903596602402,0.7122507876634642,fused,105
332,0.7780105345384789,0.6478338667503619,cam1,23
333,0.8243511588328486,0.5915042969268602,cam1,98
334,0.6994508647830192,0.7038815400131117,fused,115
335,0.7717607670498127,0.6120275831251636,fused,118
336,0.7522633016015622,0.6250502027424798,fused,37
337,0.7934175179828327,0.56191807507087,cam1,21
338,0.8358027393032178,0.5236497671198643,cam1,188
339,0.7099689498720625,0.6792617585550986,cam2,15
340,0.7468710154252836,0.6634489986377528,fused,250
341,0.7912189082444596,0.6202104097143739,fused,35
342,0.7484370097839987,0.6691209734114357,fused,292
343,0.7946837268139998,0.6499934331262168,cam2,91
344,0.7709614927069395,0.6745328056254029,cam2,139
345,0.7666023768596357,0.6659792282405519,cam2,19
346,0.8276002935415673,0.570834967169336,fused,30
347,0.8153546072674144,0.5952463734735332,fused,235
348,0.8927252967170789,0.4960335169156443,fused,77
349,0.9573161784802667,0.4232118573852626,cam1,65
350,0.7415237465735826,0.6494466083860889,cam2,34
352,0.7433546857423766,0.6372573218360028,cam2,23
353,0.8761275292733915,0.5579054488958434,cam1,16
354,0.7910299641540619,0.5877696789477224,fused,147
355,0.7616927178250714,0.6004513497828418,cam2,22
356,0.7500539679895915,0.5992872144933541,cam2,107
357,0.7808822004993744,0.5589047392790573,fused,132
358,0.8393832159150202,0.5311656192834963,fused,382
359,0.8904628858079325,0.4927391449521889,fused,49
360,0.7986316907702729,0.5613755732851171,fused,148
361,0.9165165523533811,0.46218313544163203,fused,134
362,0.7616529905764392,0.5768212833087911,cam2,18
363,0.81105615327572,0.543164321360768,fused,195
364,0.7794684168998892,0.5831010283641066,cam2,156
365,0.7854836596526908,0.5859173346953854,cam2,185
366,0.7903339610615788,0.5737316965270982,cam2,15
367,0.90354443920047,0.46031600945540474,fused,67
368,0.9076491139675245,0.4415878674607397,cam1,15
369,0.8375220258264342,0.5217027820396485,fused,237
370,0.8534587539641676,0.5155614483215519,fused,133
371,0.7937873368701674,0.5543165836181678,cam2,26
372,0.8959705851791212,0.4567692924052251,fused,201
373,0.7733756463837023,0.5565255642664809,cam2,39
374,0.9017849933750405,0.4530037155659566,fused,68
375,0.8497569739885996,0.482691379736878,fused,60
376,0.8158730244209136,0.5027518839926862,fused,46
377,0.8799215472473143,0.4475664000882243,fused,133
378,0.7968851678631271,0.5315073724235615,cam2,60
379,0.8045748450694945,0.5347123020515036,cam2,85
380,0.8079588150952739,0.5194477352458853,cam2,22
381,0.8119266411984877,0.508968215534518,cam2,30
382,0.8173957309678829,0.5125722885575307,cam2,345
383,0.8239243442377931,0.5375472984013646,fused,418
384,0.8169863328397702,0.5400245291569635,fused,348
385,0.8269347634232653,0.4789509436313088,cam2,110
386,0.8273904447413316,0.47707532602296193,cam2,23
387,0.8198439732634046,0.46472609443527935,cam2,65
388,0.8139724778272905,0.45482585577639423,cam2,147
389,0.8017553654479606,0.461434947157309,cam2,53
390,0.792119661718134,0.4667188584430243,cam2,54
391,0.7874178034062852,0.4502729178103815,cam2,59
392,0.7879165313766898,0.44355400725691846,cam2,67
393,0.7882240122562802,0.4382730516024717,cam2,101
394,0.7884338440619876,0.4339906844986475,cam2,54
395,0.7887094300812736,0.43069174173519625,cam2,65
396,0.7902387756777967,0.4690988389305897,cam2,150
397,0.8020226989164732,0.4755871596357246,cam2,149
