frame,unique_id,aligned_x,aligned_y
36,c1_1,0.3616,1.0734
39,c1_1,0.3572,1.0706
40,c1_1,0.3524,1.0683
41,c1_1,0.3505,1.0659
42,c1_1,0.3503,1.0652
43,c1_1,0.3458,1.0628
44,c1_1,0.3185,1.0574
45,c1_1,0.2848,1.0499
46,c1_1,0.2577,1.0424
47,c1_1,0.2388,1.0344
48,c1_1,0.2285,1.0257
49,c1_1,0.2229,1.0166
50,c1_1,0.222,1.0058
51,c1_1,0.2285,0.9926
52,c1_1,0.2403,0.9779
53,c1_1,0.2533,0.9616
54,c1_1,0.2643,0.9442
55,c1_1,0.2721,0.926
56,c1_1,0.2777,0.908
57,c1_1,0.283,0.8909
58,c1_1,0.2873,0.8752
59,c1_1,0.2947,0.8585
60,c1_1,0.3056,0.8426
61,c1_1,0.3203,0.8277
62,c1_1,0.338,0.814
63,c1_1,0.3559,0.8008
64,c1_1,0.3721,0.7872
65,c1_1,0.384,0.7729
66,c1_1,0.3936,0.7584
67,c1_1,0.4023,0.7437
68,c1_1,0.4076,0.729
69,c1_1,0.4114,0.7146
70,c1_1,0.4148,0.7006
71,c1_1,0.4175,0.6874
72,c1_1,0.419,0.6751
73,c1_1,0.4192,0.6637
74,c1_1,0.4192,0.6526
75,c1_1,0.4198,0.6422
76,c1_1,0.4211,0.6325
77,c1_1,0.4236,0.6236
78,c1_1,0.4288,0.6154
79,c1_1,0.436,0.6077
80,c1_1,0.4457,0.6008
81,c1_1,0.457,0.5944
82,c1_1,0.474,0.5883
83,c1_1,0.4959,0.5824
84,c1_1,0.5238,0.5772
85,c1_1,0.5563,0.5723
86,c1_1,0.5899,0.5679
87,c1_1,0.6237,0.5639
88,c1_1,0.6507,0.5595
89,c1_1,0.672,0.5552
90,c1_1,0.6882,0.5507
91,c1_1,0.7015,0.5462
92,c1_1,0.7125,0.5413
93,c1_1,0.7211,0.5358
94,c1_1,0.7283,0.5293
95,c1_1,0.7342,0.5222
96,c1_1,0.7397,0.5146
97,c1_1,0.7462,0.5065
98,c1_1,0.7545,0.4987
99,c1_1,0.7661,0.491
100,c1_1,0.7842,0.4832
101,c1_1,0.8044,0.4752
102,c1_1,0.8355,0.4673
103,c1_1,0.8752,0.4593
104,c1_1,0.9173,0.4518
105,c1_1,0.957,0.4449
106,c1_1,0.9898,0.4387
107,c1_1,1.0164,0.4331
108,c1_1,1.0364,0.4283
109,c1_1,1.0515,0.4241
109,c1_2,5.5575,1.1012
110,c1_1,1.0614,0.4207
110,c1_2,5.5584,1.1009
111,c1_1,1.0683,0.418
111,c1_2,5.5496,1.099
112,c1_1,1.0722,0.4159
112,c1_2,5.5215,1.0939
113,c1_1,1.0753,0.4146
113,c1_2,5.4834,1.0868
114,c1_1,1.0786,0.4141
114,c1_2,5.4513,1.0794
115,c1_1,1.0851,0.4143
115,c1_2,5.4083,1.0712
116,c1_1,1.0962,0.4154
116,c1_2,5.4227,1.0657
116,c1_3,8.2494,1.2319
117,c1_1,1.1128,0.4179
117,c1_2,5.3911,1.0543
118,c1_1,1.1364,0.4209
118,c1_2,5.3327,1.0401
119,c1_1,1.172,0.4241
119,c1_2,5.3209,1.0284
120,c1_1,1.2133,0.4273
120,c1_2,5.3142,1.0177
121,c1_1,1.2566,0.4307
121,c1_2,5.3615,1.0097
122,c1_1,1.2979,0.4336
122,c1_2,5.4497,1.0047
123,c1_1,1.333,0.4364
123,c1_2,5.5912,1.0031
124,c1_1,1.3615,0.4388
124,c1_2,5.8793,1.0103
125,c1_1,1.3825,0.4409
125,c1_2,6.2053,1.0186
126,c1_1,1.3977,0.4427
126,c1_2,6.5204,1.0244
127,c1_1,1.409,0.4445
127,c1_2,6.808,1.0262
128,c1_1,1.4166,0.4456
128,c1_2,7.0661,1.026
129,c1_1,1.4225,0.4458
129,c1_2,7.2805,1.0238
130,c1_1,1.4283,0.4449
130,c1_2,7.4497,1.0186
131,c1_1,1.4348,0.4429
131,c1_2,7.5886,1.0109
132,c1_1,1.4414,0.4401
132,c1_2,7.7014,1.0017
133,c1_1,1.449,0.4367
133,c1_2,7.7862,0.99
134,c1_1,1.4579,0.4328
134,c1_2,7.8602,0.9775
135,c1_1,1.4694,0.4285
135,c1_2,7.9193,0.9646
136,c1_1,1.4837,0.424
136,c1_2,7.9607,0.9516
137,c1_1,1.507,0.4193
137,c1_2,7.9909,0.9383
138,c1_1,1.5397,0.4139
138,c1_2,8.0006,0.924
139,c1_1,1.5818,0.4081
139,c1_2,7.9715,0.9107
140,c1_1,1.6271,0.4024
140,c1_2,7.95,0.8984
141,c1_1,1.6693,0.3972
141,c1_2,7.8647,0.8833
142,c1_1,1.7067,0.3927
142,c1_2,7.5775,0.8612
143,c1_1,1.7351,0.3889
143,c1_2,7.2691,0.839
144,c1_1,1.759,0.3857
144,c1_2,7.0997,0.8216
145,c1_1,1.7784,0.3829
145,c1_2,6.8928,0.8026
146,c1_1,1.7928,0.3811
146,c1_2,6.8809,0.7856
147,c1_1,1.8049,0.3802
147,c1_2,6.9694,0.7702
148,c1_1,1.8179,0.3801
148,c1_2,7.0879,0.7558
149,c1_1,1.8329,0.3808
149,c1_2,7.1117,0.7397
150,c1_1,1.8501,0.3824
150,c1_2,7.0302,0.7209
151,c1_1,1.868,0.385
151,c1_2,6.81,0.7007
152,c1_1,1.886,0.3881
152,c1_2,6.5795,0.683
153,c1_1,1.9068,0.3912
153,c1_2,6.3784,0.6691
153,c1_7,12.4236,0.7257
154,c1_1,1.9423,0.3941
154,c1_2,6.239,0.6591
154,c1_7,12.4755,0.7285
155,c1_1,1.9832,0.397
156,c1_1,2.0254,0.3997
157,c1_1,2.0665,0.4023
158,c1_1,2.1019,0.4047
159,c1_1,2.1288,0.407
160,c1_1,2.1533,0.4093
161,c1_1,2.1753,0.4112
162,c1_1,2.1929,0.4127
163,c1_1,2.2052,0.4132
164,c1_1,2.2132,0.4127
165,c1_1,2.2186,0.4114
166,c1_1,2.2224,0.4095
167,c1_1,2.2264,0.4067
167,c1_8,6.875,0.6352
168,c1_1,2.2286,0.4032
168,c1_8,6.9202,0.6356
169,c1_1,2.2371,0.3988
169,c1_8,6.9903,0.6356
170,c1_1,2.2536,0.3939
170,c1_8,7.0472,0.6353
171,c1_1,2.2747,0.3888
171,c1_8,7.1056,0.6352
172,c1_1,2.303,0.3831
172,c1_8,7.1662,0.6354
173,c1_1,2.3418,0.377
173,c1_8,7.2202,0.6364
174,c1_1,2.3844,0.3702
174,c1_8,7.2664,0.6377
175,c1_1,2.4257,0.3638
175,c1_8,7.3073,0.6394
176,c1_1,2.4645,0.3576
176,c1_8,7.3496,0.6416
177,c1_1,2.4941,0.3516
177,c1_8,7.3818,0.6435
178,c1_1,2.5179,0.3464
178,c1_8,7.4003,0.6453
179,c1_1,2.5355,0.3422
179,c1_8,7.4122,0.647
180,c1_1,2.5493,0.3392
180,c1_8,7.4189,0.6487
181,c1_1,2.5621,0.3369
181,c1_8,7.421,0.6504
182,c1_1,2.5731,0.3355
182,c1_8,7.4183,0.6519
183,c1_1,2.5833,0.3349
183,c1_8,7.4103,0.6533
184,c1_1,2.5909,0.3357
184,c1_8,7.3996,0.655
185,c1_1,2.5969,0.3374
185,c1_8,7.3912,0.6573
186,c1_1,2.6102,0.3399
186,c1_8,7.3855,0.6599
187,c1_1,2.6313,0.3432
187,c1_8,7.376,0.6619
188,c1_1,2.6664,0.3475
188,c1_8,7.3759,0.6638
189,c1_1,2.6971,0.3528
189,c1_8,7.3705,0.6651
190,c1_1,2.734,0.3592
190,c1_8,7.3636,0.6661
191,c1_1,2.7769,0.366
191,c1_8,7.355,0.6669
192,c1_1,2.8198,0.3725
192,c1_8,7.3644,0.6676
193,c1_1,2.8616,0.3784
193,c1_8,7.3825,0.6687
194,c1_1,2.9016,0.3836
194,c1_8,7.3537,0.6691
195,c1_1,2.9363,0.3879
195,c1_8,7.0052,0.6641
196,c1_1,2.9636,0.3911
196,c1_8,6.63,0.6587
197,c1_1,2.9828,0.3934
197,c1_8,6.2896,0.6543
198,c1_1,3.0023,0.395
198,c1_8,5.9954,0.651
199,c1_1,3.0188,0.395
199,c1_8,5.7461,0.6488
200,c1_1,3.0365,0.3929
200,c1_8,5.5294,0.6473
201,c1_1,3.0549,0.3891
201,c1_8,5.3536,0.6463
202,c1_1,3.0737,0.3844
202,c1_8,5.2115,0.6455
203,c1_1,3.092,0.3783
203,c1_8,5.0976,0.645
204,c1_1,3.1023,0.372
204,c1_8,5.0042,0.6451
205,c1_1,3.101,0.3654
205,c1_8,4.9296,0.6456
206,c1_1,3.1062,0.3567
206,c1_8,4.874,0.6465
207,c1_1,3.1199,0.3472
207,c1_8,4.8304,0.6479
208,c1_1,3.1404,0.3374
208,c1_8,4.796,0.6486
209,c1_1,3.1604,0.328
209,c1_8,4.7677,0.6493
210,c1_1,3.1801,0.318
210,c1_8,4.7476,0.6505
211,c1_1,3.2051,0.3079
211,c1_8,4.7341,0.6518
212,c1_1,3.2317,0.2982
212,c1_8,4.7172,0.6531
213,c1_1,3.2562,0.2895
213,c1_8,4.6956,0.6539
214,c1_1,3.2773,0.2817
214,c1_8,4.6773,0.6544
215,c1_1,3.2961,0.2751
215,c1_8,4.6542,0.6545
216,c1_1,3.314,0.269
216,c1_8,4.6306,0.6543
217,c1_1,3.3308,0.2635
217,c1_8,4.6024,0.6538
218,c1_1,3.3469,0.2586
218,c1_8,4.576,0.6528
219,c1_1,3.3657,0.2542
219,c1_8,4.555,0.6515
220,c1_1,3.381,0.2501
220,c1_8,4.5413,0.6499
221,c1_1,3.3895,0.2467
221,c1_8,4.535,0.6486
222,c1_1,3.396,0.2442
222,c1_8,4.535,0.6475
223,c1_1,3.4014,0.2428
223,c1_8,4.5369,0.6466
224,c1_1,3.4084,0.242
224,c1_8,4.5389,0.6455
225,c1_1,3.4183,0.2416
225,c1_8,4.5417,0.6441
226,c1_1,3.4275,0.2418
226,c1_8,4.5433,0.6423
227,c1_1,3.438,0.242
227,c1_8,4.543,0.64
228,c1_1,3.4499,0.2427
228,c1_8,4.5458,0.6385
229,c1_1,3.4631,0.2438
229,c1_8,4.5503,0.6375
230,c1_1,3.4803,0.2451
230,c1_8,4.5518,0.6363
231,c1_1,3.4938,0.2465
231,c1_8,4.5516,0.635
232,c1_1,3.5119,0.2478
232,c1_8,4.5485,0.6338
233,c1_1,3.535,0.249
233,c1_8,4.5451,0.6327
234,c1_1,3.5619,0.2499
234,c1_8,4.5401,0.6318
235,c1_1,3.5943,0.2506
235,c1_8,4.5311,0.6316
236,c1_1,3.6303,0.2508
236,c1_8,4.5186,0.6318
237,c1_1,3.6648,0.2508
237,c1_8,4.5083,0.6322
238,c1_1,3.6952,0.2508
238,c1_8,4.499,0.633
239,c1_1,3.7233,0.2507
239,c1_8,4.4875,0.6342
240,c1_1,3.7455,0.2506
240,c1_8,4.4732,0.6352
241,c1_1,3.7642,0.25
241,c1_8,4.4718,0.6372
242,c1_1,3.7792,0.2481
242,c1_8,4.4763,0.6391
243,c1_1,3.7926,0.2452
243,c1_8,4.483,0.6406
244,c1_1,3.8187,0.2409
244,c1_8,4.4906,0.6416
245,c1_1,3.8503,0.2361
245,c1_8,4.4965,0.6425
246,c1_1,3.8688,0.2313
246,c1_8,4.4994,0.6435
247,c1_1,3.8934,0.2261
247,c1_8,4.4966,0.6445
248,c1_1,3.9248,0.2208
248,c1_8,4.4857,0.6452
249,c1_1,3.9633,0.2155
249,c1_8,4.4714,0.6452
250,c1_1,3.9994,0.2107
250,c1_8,4.4527,0.6448
251,c1_1,4.0297,0.2066
251,c1_8,4.4278,0.6441
252,c1_1,4.0561,0.203
252,c1_8,4.3923,0.643
253,c1_1,4.0783,0.2001
253,c1_8,4.3624,0.6418
254,c1_1,4.0983,0.1978
254,c1_8,4.3398,0.6409
255,c1_1,4.116,0.1961
255,c1_8,4.3166,0.6398
256,c1_1,4.1296,0.1954
256,c1_8,4.3039,0.6393
257,c1_1,4.1363,0.1964
257,c1_8,4.2943,0.6393
258,c1_1,4.1399,0.1987
258,c1_8,4.2802,0.6391
259,c1_1,4.1422,0.2022
259,c1_8,4.2603,0.6385
260,c1_1,4.1541,0.2067
260,c1_8,4.2366,0.6375
261,c1_1,4.1633,0.212
261,c1_8,4.2105,0.6363
262,c1_1,4.1757,0.2174
262,c1_8,4.19,0.6352
263,c1_1,4.202,0.2228
263,c1_8,4.1762,0.6337
264,c1_1,4.2409,0.2293
264,c1_8,4.1766,0.6326
265,c1_1,4.2818,0.2358
265,c1_8,4.1814,0.6309
266,c1_1,4.32,0.2422
266,c1_8,4.1844,0.628
267,c1_1,4.3534,0.2484
267,c1_8,4.1844,0.6253
268,c1_1,4.3805,0.2542
268,c1_8,4.1842,0.6229
269,c1_1,4.3991,0.2595
269,c1_8,4.1763,0.6207
270,c1_1,4.4179,0.2644
270,c1_8,4.1607,0.6185
271,c1_1,4.4358,0.2691
271,c1_8,4.1352,0.6162
272,c1_1,4.4501,0.2731
272,c1_8,4.1042,0.6138
273,c1_1,4.4598,0.2771
273,c1_8,4.0737,0.6119
274,c1_1,4.4606,0.2814
274,c1_8,4.0439,0.6103
275,c1_1,4.4624,0.2856
275,c1_8,4.0202,0.6091
276,c1_1,4.4733,0.2896
276,c1_8,3.995,0.6081
277,c1_1,4.487,0.293
277,c1_8,3.9585,0.6074
278,c1_1,4.4998,0.2964
278,c1_8,3.9165,0.6072
279,c1_1,4.5127,0.2993
279,c1_8,3.8799,0.6074
280,c1_1,4.5267,0.3022
280,c1_8,3.8496,0.6082
281,c1_1,4.5335,0.305
281,c1_8,3.8219,0.6091
282,c1_1,4.5609,0.3071
282,c1_8,3.7965,0.6102
283,c1_1,4.5965,0.3091
283,c1_8,3.7692,0.6109
284,c1_1,4.639,0.3112
284,c1_8,3.7467,0.6109
285,c1_1,4.6804,0.3134
285,c1_8,3.7236,0.6106
286,c1_1,4.7168,0.316
286,c1_8,3.703,0.6097
287,c1_1,4.7467,0.3191
287,c1_8,3.6817,0.6085
288,c1_1,4.7716,0.3228
288,c1_8,3.6598,0.6072
289,c1_1,4.7827,0.3272
289,c1_8,3.6385,0.6055
290,c1_1,4.7911,0.3324
290,c1_8,3.6199,0.6029
291,c1_1,4.7998,0.3387
291,c1_8,3.5947,0.5999
292,c1_1,4.8066,0.3448
292,c1_8,3.5664,0.5954
293,c1_1,4.8113,0.3573
293,c1_8,3.5489,0.5885
294,c1_1,4.8194,0.3699
294,c1_8,3.5272,0.5806
295,c1_8,3.5107,0.5732
296,c1_8,3.4997,0.5651
297,c1_8,3.5004,0.5581
298,c1_8,3.5002,0.5514
299,c1_8,3.4979,0.5441
299,c1_9,11.491,0.5698
300,c1_8,3.4916,0.5365
300,c1_9,11.4698,0.5769
301,c1_8,3.4675,0.5289
301,c1_9,11.4123,0.6011
302,c1_8,3.4451,0.521
302,c1_9,11.3284,0.6254
303,c1_8,3.4251,0.5138
303,c1_9,11.2479,0.6513
304,c1_8,3.407,0.5068
304,c1_9,11.136,0.676
305,c1_8,3.382,0.4993
306,c1_8,3.3477,0.4918
306,c1_9,10.1315,0.6833
307,c1_8,3.3188,0.4842
307,c1_9,9.3291,0.6923
308,c1_8,3.3042,0.477
308,c1_9,8.7166,0.703
309,c1_8,3.298,0.4706
309,c1_9,8.2512,0.7137
310,c1_8,3.2944,0.464
310,c1_9,7.895,0.7247
311,c1_8,3.2846,0.4574
311,c1_9,7.4643,0.7301
312,c1_8,3.264,0.4492
312,c1_9,7.0549,0.7341
313,c1_8,3.2284,0.4403
313,c1_9,6.7043,0.7404
314,c1_8,3.1939,0.4319
314,c1_9,6.4161,0.7494
315,c1_8,3.1623,0.4245
315,c1_9,6.1806,0.7593
316,c1_8,3.1345,0.4174
316,c1_9,5.9922,0.7691
317,c1_8,3.1108,0.4102
317,c1_9,5.8419,0.7784
318,c1_8,3.0891,0.4031
318,c1_9,5.7225,0.7904
319,c1_8,3.0712,0.396
319,c1_9,5.6288,0.806
320,c1_8,3.0587,0.3891
320,c1_9,5.5546,0.8225
321,c1_8,3.0487,0.3823
321,c1_9,5.4951,0.8385
322,c1_8,3.0261,0.3761
322,c1_9,5.4498,0.8541
323,c1_8,2.9987,0.3704
323,c1_9,5.4007,0.8688
324,c1_8,2.9744,0.3652
324,c1_9,5.3555,0.8814
325,c1_8,2.9529,0.3601
325,c1_9,5.3204,0.8922
326,c1_8,2.9324,0.3552
326,c1_9,5.2945,0.9022
327,c1_8,2.91,0.3503
327,c1_9,5.286,0.9122
328,c1_8,2.8824,0.3458
328,c1_9,5.285,0.9208
329,c1_8,2.8525,0.3414
329,c1_9,5.2992,0.9287
330,c1_8,2.8232,0.3372
330,c1_9,5.3175,0.937
331,c1_8,2.7972,0.3331
331,c1_9,5.3404,0.9466
332,c1_8,2.7746,0.329
333,c1_8,2.7599,0.3247
334,c1_8,2.756,0.3203
335,c1_8,2.7458,0.3167
336,c1_8,2.7329,0.3137
337,c1_8,2.7168,0.3115
338,c1_8,2.6964,0.3099
339,c1_8,2.6768,0.3085
340,c1_8,2.6552,0.3076
341,c1_8,2.6333,0.3072
342,c1_8,2.6126,0.3073
343,c1_8,2.5908,0.3081
344,c1_8,2.5683,0.3094
345,c1_8,2.5495,0.3111
346,c1_8,2.5331,0.3131
347,c1_8,2.5174,0.3156
348,c1_8,2.4945,0.319
349,c1_8,2.4638,0.3231
350,c1_8,2.4293,0.3279
351,c1_8,2.3986,0.3331
352,c1_8,2.3744,0.3384
353,c1_8,2.3535,0.3434
354,c1_8,2.3351,0.3481
355,c1_8,2.319,0.3521
356,c1_8,2.2992,0.3557
357,c1_8,2.2721,0.359
358,c1_8,2.2426,0.3618
359,c1_8,2.2163,0.364
360,c1_8,2.1902,0.3658
361,c1_8,2.1672,0.3673
362,c1_8,2.1411,0.3688
363,c1_8,2.1132,0.3702
364,c1_8,2.0808,0.3719
365,c1_8,2.0497,0.3736
366,c1_8,2.0218,0.3753
367,c1_8,1.9983,0.3769
368,c1_8,1.9787,0.3784
369,c1_8,1.9636,0.3798
370,c1_8,1.9508,0.3811
371,c1_8,1.9415,0.3824
372,c1_8,1.9339,0.3838
373,c1_8,1.9268,0.3851
374,c1_8,1.9148,0.3864
375,c1_8,1.8944,0.3881
376,c1_8,1.8728,0.3898
377,c1_8,1.8557,0.3914
378,c1_8,1.8402,0.3933
379,c1_8,1.8225,0.3956
380,c1_8,1.7839,0.3988
381,c1_8,1.7385,0.4023
382,c1_8,1.6946,0.4058
383,c1_8,1.6569,0.4092
384,c1_8,1.6265,0.4125
385,c1_8,1.6026,0.4155
386,c1_8,1.5835,0.4183
387,c1_8,1.5686,0.4208
388,c1_8,1.5571,0.423
389,c1_8,1.5473,0.4249
390,c1_8,1.5367,0.4264
391,c1_8,1.515,0.4278
392,c1_8,1.4872,0.4291
393,c1_8,1.4554,0.4303
394,c1_8,1.4228,0.4312
395,c1_8,1.3906,0.432
396,c1_8,1.3599,0.4325
397,c1_8,1.3242,0.4329
398,c1_8,1.2881,0.433
399,c1_8,1.2546,0.4329
400,c1_8,1.2256,0.4324
401,c1_8,1.2018,0.4316
402,c1_8,1.183,0.4308
403,c1_8,1.1676,0.43
404,c1_8,1.1542,0.4295
405,c1_8,1.144,0.4291
406,c1_8,1.1373,0.4288
407,c1_8,1.1311,0.4287
408,c1_8,1.115,0.4288
409,c1_8,1.0785,0.4293
410,c1_8,1.0357,0.4302
411,c1_8,0.9981,0.4312
412,c1_8,0.9572,0.4328
413,c1_8,0.9142,0.4349
414,c1_8,0.8727,0.4372
415,c1_8,0.8352,0.4397
416,c1_8,0.8033,0.442
417,c1_8,0.7767,0.4442
418,c1_8,0.7553,0.4463
419,c1_8,0.7387,0.4484
420,c1_8,0.726,0.4504
421,c1_8,0.7159,0.4522
422,c1_8,0.7076,0.454
423,c1_8,0.6987,0.4557
424,c1_8,0.6799,0.4572
425,c1_8,0.6509,0.4585
426,c1_8,0.6159,0.4597
427,c1_8,0.5797,0.4605
428,c1_8,0.5433,0.4611
429,c1_8,0.5081,0.4615
430,c1_8,0.4713,0.4615
431,c1_8,0.4335,0.4614
432,c1_8,0.399,0.4611
433,c1_8,0.37,0.4606
434,c1_8,0.3462,0.46
435,c1_8,0.3273,0.4592
436,c1_8,0.3123,0.4585
437,c1_8,0.3006,0.4577
438,c1_8,0.292,0.4568
439,c1_8,0.285,0.4561
440,c1_8,0.2787,0.4554
441,c1_8,0.2622,0.4551
442,c1_8,0.2351,0.4555
443,c1_8,0.2023,0.4561
444,c1_8,0.1657,0.4571
445,c1_8,0.1284,0.4584
446,c1_8,0.0922,0.4601
447,c1_8,0.0585,0.4621
448,c1_8,0.0258,0.4644
449,c1_8,-0.0091,0.4669
450,c1_8,-0.0408,0.4694
451,c1_8,-0.0675,0.472
452,c1_8,-0.0889,0.4749
453,c1_8,-0.1046,0.4775
454,c1_8,-0.1177,0.4801
455,c1_8,-0.1283,0.4823
456,c1_8,-0.1366,0.4842
457,c1_8,-0.1431,0.4858
458,c1_8,-0.1477,0.487
459,c1_8,-0.1506,0.4878
460,c1_8,-0.1523,0.4881
461,c1_8,-0.1533,0.4878
462,c1_8,-0.1539,0.4872
463,c1_8,-0.1539,0.4863
464,c1_8,-0.1539,0.4854
465,c1_8,-0.1536,0.4847
466,c1_8,-0.1534,0.4837
467,c1_8,-0.1526,0.4823
468,c1_8,-0.152,0.4803
469,c1_8,-0.1514,0.4779
1,c2_1,0.25094009792120797,1.0834317694093105
2,c2_1,0.2495705753361741,1.082590379223658
3,c2_1,0.24912505112215877,1.0820594210679317
4,c2_1,0.24860750885368121,1.0812269748071122
5,c2_1,0.24859244676036063,1.080274498455524
6,c2_1,0.2511813376530183,1.0795498459484965
7,c2_1,0.2523917620358094,1.0788357835723736
8,c2_1,0.2535256964017223,1.0782462232494354
9,c2_1,0.2542051626287871,1.0779776850873284
10,c2_1,0.2546116187313281,1.0774556708564351
11,c2_1,0.25708047953321733,1.0762285381742516
12,c2_1,0.2594248382819213,1.0749249154751905
13,c2_1,0.2617211849943182,1.0734203007060672
14,c2_1,0.2638930296535298,1.0718391959200664
15,c2_1,0.26596437827771036,1.0702820971522191
16,c2_1,0.266733750408902,1.0686110864620915
17,c2_1,0.2672496464713068,1.0672130858964874
18,c2_1,0.2681719986362534,1.06529307109999
19,c2_1,0.26938077681297257,1.0623485618974435
20,c2_1,0.27130197115974264,1.058384030251264
21,c2_1,0.27295909930682205,1.053314042219741
22,c2_1,0.27457104117393927,1.0453866251334534
23,c2_1,0.27843296392321637,1.0379840480344038
24,c2_1,0.2842824475610368,1.0322313013636728
25,c2_1,0.2915299317644604,1.0269944507553468
26,c2_1,0.30156729893060463,1.020984935603686
27,c2_1,0.3152375854511922,1.0150636801500803
28,c2_1,0.33136331688642073,1.0091932624891264
29,c2_1,0.34776205844617225,1.0035763208969586
30,c2_1,0.36443828209286355,0.9977868652152988
31,c2_1,0.38008553937108935,0.9921369736801446
32,c2_1,0.3951298204391276,0.9866311182539127
33,c2_1,0.4086906669998518,0.9815858491350176
34,c2_1,0.4218210514398808,0.9769620982119844
35,c2_1,0.4363014244092067,0.9726532512812942
